iter	Passed	Remaining
0	1	134
1	2	137
2	4	145
3	5	139
4	7	136
5	8	133
6	9	128
7	11	128
8	12	131
9	14	126
10	15	122
11	16	120
12	18	121
13	19	118
14	20	117
15	22	117
16	23	114
17	24	111
18	25	109
19	26	107
20	27	105
21	29	102
22	30	100
23	31	100
24	33	99
25	34	98
26	35	96
27	36	94
28	37	92
29	38	90
30	39	88
31	40	86
32	42	85
33	43	83
34	44	82
35	45	81
36	47	80
37	48	79
38	49	77
39	50	75
40	51	74
41	52	72
42	53	70
43	54	69
44	55	67
45	56	66
46	57	65
47	58	63
48	59	62
49	61	61
50	62	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	49
59	72	48
60	73	46
61	74	45
62	75	44
63	77	43
64	78	42
65	79	40
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	85	33
72	86	32
73	87	30
74	89	29
75	90	28
76	91	27
77	92	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	117	0
