iter	Passed	Remaining
0	13	12993
1	17	8846
2	20	6847
3	22	5612
4	25	5043
5	28	4765
6	32	4646
7	34	4325
8	36	4040
9	38	3821
10	44	4006
11	46	3832
12	48	3653
13	49	3507
14	51	3375
15	53	3260
16	55	3215
17	57	3123
18	58	3036
19	60	2964
20	62	2901
21	63	2842
22	65	2788
23	67	2733
24	68	2675
25	71	2678
26	72	2625
27	74	2576
28	75	2529
29	76	2483
30	78	2439
31	79	2398
32	80	2360
33	81	2323
34	83	2301
35	85	2298
36	87	2268
37	88	2241
38	89	2216
39	91	2188
40	92	2159
41	93	2132
42	94	2107
43	95	2082
44	97	2059
45	98	2036
46	101	2048
47	102	2029
48	103	2008
49	104	1988
50	105	1970
51	107	1950
52	108	1932
53	109	1912
54	110	1894
55	111	1883
56	112	1867
57	116	1884
58	117	1870
59	118	1857
60	119	1845
61	121	1833
62	122	1821
63	123	1808
64	124	1797
65	126	1784
66	127	1773
67	128	1760
68	130	1761
69	131	1749
70	132	1737
71	133	1724
72	134	1711
73	135	1698
74	136	1686
75	137	1674
76	138	1664
77	139	1653
78	140	1642
79	141	1631
80	142	1620
81	144	1615
82	145	1603
83	146	1594
84	147	1584
85	148	1574
86	149	1565
87	150	1556
88	151	1547
89	152	1539
90	153	1531
91	154	1523
92	155	1514
93	156	1506
94	157	1497
95	158	1493
96	160	1490
97	161	1483
98	162	1475
99	163	1468
100	164	1460
101	165	1453
102	166	1446
103	167	1439
104	168	1432
105	169	1426
106	170	1419
107	171	1412
108	172	1406
109	174	1408
110	175	1403
111	176	1397
112	177	1390
113	178	1384
114	179	1378
115	180	1373
116	181	1366
117	182	1360
118	183	1355
119	184	1349
120	185	1344
121	185	1337
122	186	1332
123	189	1335
124	190	1333
125	191	1329
126	192	1323
127	193	1321
128	195	1317
129	196	1314
130	197	1310
131	198	1305
132	199	1300
133	200	1295
134	201	1291
135	203	1294
136	204	1290
137	205	1285
138	206	1281
139	207	1277
140	208	1272
141	209	1266
142	210	1261
143	211	1257
144	212	1253
145	213	1249
146	214	1244
147	215	1240
148	216	1236
149	218	1238
150	219	1235
151	220	1231
152	221	1228
153	222	1224
154	223	1220
155	225	1217
156	226	1213
157	227	1209
158	228	1206
159	229	1202
160	229	1197
161	230	1194
162	231	1190
163	234	1196
164	235	1193
165	237	1191
166	238	1188
167	239	1185
168	240	1182
169	241	1179
170	242	1176
171	243	1173
172	244	1170
173	245	1167
174	248	1172
175	250	1170
176	251	1168
177	252	1165
178	253	1163
179	254	1160
180	255	1157
181	256	1154
182	258	1151
183	259	1148
184	260	1145
185	261	1142
186	262	1142
187	264	1141
188	265	1139
189	266	1137
190	268	1135
191	269	1133
192	270	1131
193	271	1129
194	273	1127
195	274	1125
196	275	1124
197	278	1129
198	280	1127
199	281	1126
200	282	1124
201	284	1122
202	285	1120
203	286	1118
204	288	1117
205	289	1115
206	290	1112
207	293	1118
208	295	1118
209	296	1116
210	298	1115
211	299	1113
212	301	1112
213	302	1110
214	303	1108
215	305	1107
216	306	1105
217	309	1110
218	311	1109
219	312	1108
220	314	1107
221	315	1106
222	317	1105
223	318	1103
224	320	1102
225	321	1101
